,Book Author,Book Owner,Book Title,Publication Year
0,Ernest Hemingway,Ernest Hemingway,Hemingway par lui-même,1959
1,Ernest Hemingway,Ernest Hemingway,Men at war; the best war stories of all time,1955
2,Ernest Hemingway,Ernest Hemingway,Men at war; the best war stories of all time,1942
3,Ernest Hemingway,Ernest Hemingway,Men at war : the best war stories of all time,1952
4,Ernest Hemingway,Ernest Hemingway,Le vieil homme et la mer: Transcription dramatique du roman de Ernest Hemingway,1955
5,Gertrude Stein,Ernest Hemingway,The autobiography of Alice B. Toklas,1947
6,Gertrude Stein,Ernest Hemingway,Descriptions of literature,1926
7,Gertrude Stein,Ernest Hemingway,"Lucy Church, amiably",1930
8,Gertrude Stein,Ernest Hemingway,Portraits and prayers,1934
9,Gertrude Stein,Ernest Hemingway,Wars I have seen,1945
10,Georges Simenon,Ernest Hemingway,Au rendez-vous des Terre-Neuvas,1931
11,Georges Simenon,Ernest Hemingway,Le blanc à lunettes,1937
12,Georges Simenon,Ernest Hemingway,Ceux de la soif : Le cheval blanc : Les inconnus dans la maison,1951
13,Georges Simenon,Ernest Hemingway,"Le charretier de ""La Providence""",1931
14,Georges Simenon,Ernest Hemingway,Chemin sans issue,1938
15,Georges Simenon,Ernest Hemingway,Chez les Flamands,1932
16,Georges Simenon,Ernest Hemingway,Le chien jaune,1931
17,Georges Simenon,Ernest Hemingway,Le coup de lune,1933
18,Georges Simenon,Ernest Hemingway,Le coup de vague,1939
19,Georges Simenon,Ernest Hemingway,Les demoiselles de Concarneau,1936
20,Georges Simenon,Ernest Hemingway,L'écluse No. 1,1933
21,Georges Simenon,Ernest Hemingway,L'évadé,1936
22,Georges Simenon,Ernest Hemingway,Faubourg,1937
23,Georges Simenon,Ernest Hemingway,45_ a_ l'ombre; Les clients d'Avrenos; Quartier ne_gre,1951
24,Georges Simenon,Ernest Hemingway,Le fou de Bergerac,1932
25,Georges Simenon,Ernest Hemingway,The hitchhiker,1957
26,Georges Simenon,Ernest Hemingway,Inspector Maigret and the burglar's wife,1957
27,Georges Simenon,Ernest Hemingway,Liberty Bar,1936
28,Georges Simenon,Ernest Hemingway,Le locataire,1934
29,Georges Simenon,Ernest Hemingway,Maigret,1934
30,Georges Simenon,Ernest Hemingway,Maigret travels south,1945
31,Georges Simenon,Ernest Hemingway,The man who watched the trains go by,1946
32,Georges Simenon,Ernest Hemingway,La Marie du port,1938
33,Georges Simenon,Ernest Hemingway,La maison du canal,1933
34,Georges Simenon,Ernest Hemingway,Les noces de Poitiers ; le Rapport du gendarme ; G 7,1951
35,Georges Simenon,Ernest Hemingway,Les nouvelles enquêtes de Maigret,1944
36,Georges Simenon,Ernest Hemingway,La nuit du carrefour,1936
37,Georges Simenon,Ernest Hemingway,L'ombre chinoise,1932
38,Georges Simenon,Ernest Hemingway,"Le passager du ""Polarlys""",1932
39,Georges Simenon,Ernest Hemingway,Le pendu de Saint-Pholien,1931
40,Georges Simenon,Ernest Hemingway,Pietr-le-Letton,1936
41,Georges Simenon,Ernest Hemingway,Les Pitard,1935
42,Georges Simenon,Ernest Hemingway,Quartier ne_gre,1935
43,Georges Simenon,Ernest Hemingway,Les rescapés du Télémaque,1938
44,Georges Simenon,Ernest Hemingway,Les sept minutes,1938
45,Georges Simenon,Ernest Hemingway,"Signé Picpus, suivi de L'inspecteur Cadavre, Félicie est là, Nouvelles exotiques",1944
46,Georges Simenon,Ernest Hemingway,Les suicidés,1934
47,Georges Simenon,Ernest Hemingway,La tête d'un homme,1931
48,Georges Simenon,Ernest Hemingway,Les 13 mystères,1932
49,Georges Simenon,Ernest Hemingway,"Touriste de bananes, ou les dimanches de Tahiti",1938
50,Georges Simenon,Ernest Hemingway,Les trois crimes de mes amis,1938
51,Georges Simenon,Ernest Hemingway,Tropic moon,1958
52,Ezra Pound,James Joyce,Lustra of Ezra Pound,1915
53,Ezra Pound,James Joyce,"'Noh' or, Accomplishment, a study of the classical stage of Japan",1917
54,Ezra Pound   ,Ezra Pound,25 [i.e. Tjugufem] dikter,1953
55,Ezra Pound   ,Ezra Pound,1933: Past history: [criticism of James Joyce],1960
56,Ezra Pound   ,Ezra Pound,A B C of economics,1933
57,Ezra Pound   ,Ezra Pound,A B C of Reading,1934
58,Ezra Pound   ,Ezra Pound,ABC for læsere,1960
59,Ezra Pound   ,Ezra Pound,A lume spento,1908
60,Ezra Pound   ,Ezra Pound,Alfred Venison's poems,1935
61,Ezra Pound   ,Ezra Pound,"America, Roosevelt e le cause della guerra presente, L'",1944
62,Ezra Pound   ,Ezra Pound,"America, Roosevelt and the causes of the present war",1951
63,Ezra Pound   ,Ezra Pound,Cantemos al amor,1965
64,Ezra Pound   ,Ezra Pound,A draft of XVI cantos of Ezra Pound: For the beginning of a poem of some length / now first made into a book,1925
65,Ezra Pound   ,Ezra Pound,LXXV canto pisano,1964
66,Ezra Pound   ,Ezra Pound,Canzoni,1911
67,Ezra Pound   ,Ezra Pound,Carta a C.J.C.,1960
68,Ezra Pound   ,Ezra Pound,Cathay,1915
69,Ezra Pound   ,Ezra Pound,Cinco poesias,1952
70,Ezra Pound   ,Ezra Pound,A draft of XXX cantos,1930
71,Ezra Pound   ,Ezra Pound,Drafts and Fragments of Cantos CX-CXVII,1970
72,Ezra Pound   ,Ezra Pound,Drafts & Fragments of Cantos CX-CXVII,1968
73,Ezra Pound   ,Ezra Pound,E.P. ode pour l'election de son sepulcre,1951
74,Ezra Pound   ,Ezra Pound,L'economia ortologica: il problema centrale,1937
75,Ezra Pound   ,Ezra Pound,Economia ortologica: le basi etiche,1937
76,Ezra Pound   ,Ezra Pound,"Eleven new cantos, XXXI-XLI",1934
77,Ezra Pound   ,Ezra Pound,The fifth decad of cantos,1937
78,Ezra Pound   ,Ezra Pound,Gold and work,1951
79,Ezra Pound   ,Ezra Pound,Guide to kulchur,1938
80,Ezra Pound   ,Ezra Pound,Secondo biglietto da visita,1953
81,Ezra Pound   ,Ezra Pound,Diptych Rome-London,1957
82,Ezra Pound   ,Ezra Pound,Hugh Selwyn Mauberley,1920
83,Ezra Pound   ,Ezra Pound,If this be treason......,1948
84,Ezra Pound   ,Ezra Pound,Imaginary letters,1930
85,Ezra Pound   ,Ezra Pound,"Instigations of Ezra Pound, together with an essay on the Chinese written character",1920
86,Ezra Pound   ,Ezra Pound,An introduction to the economic nature of the United States,1950
87,Ezra Pound   ,Ezra Pound,Introductory text book,1939
88,Ezra Pound   ,Ezra Pound,Introductory text book E. P.: [in four chapters],1938
89,Ezra Pound   ,Ezra Pound,Introduzione alla natura economica degli S.U.A.,1944
90,Ezra Pound   ,Ezra Pound,"Jefferson and/or Mussolini; l'idea statale; fascism, as I have seen it",1935
91,Ezra Pound   ,Ezra Pound,K_ntau I,1957
92,Ezra Pound   ,Ezra Pound,"The letters of Ezra Pound, 1907-1941",1950
93,Ezra Pound   ,Ezra Pound,"The letters of Ezra Pound, 1907-1941",1951
94,Ezra Pound   ,Ezra Pound,Lustra of Ezra Pound,1916
95,Ezra Pound   ,Ezra Pound,"Lustra of Ezra Pound, with earlier poems",1917
96,Ezra Pound   ,Ezra Pound,Make it new,1934
97,Ezra Pound   ,Ezra Pound,Maska i pie__: antologia poezji,1960
98,Ezra Pound   ,Ezra Pound,Orientamenti,1944
99,Ezra Pound   ,Ezra Pound,"Oro e lavoro: alla memoria di Aurelio Baisi, Rapallo",1944
